Date,Transaction ID,Description,Debit,Credit,Balance,UPI Ref
01/02/2025,TXN756797941189,Salary Credit NEFT,,85000.00,112073.31,580456830940
01/02/2025,TXN549381695163,UPI/Spotify,119.00,,111954.31,337054876742
01/02/2025,TXN103428993651,UPI/Spotify,119.00,,111835.31,696776859864
01/02/2025,TXN799644983858,UPI/1mg,763.26,,111072.05,153252110870
02/02/2025,TXN085358545896,UPI/Swiggy,491.22,,110580.83,087779289772
02/02/2025,TXN545352080466,UPI/Uber,194.28,,110386.55,400135147182
03/02/2025,TXN574846674049,UPI/Swiggy,386.61,,109999.94,668699820884
03/02/2025,TXN827612001651,UPI/McDonald's,441.02,,109558.92,694596531262
03/02/2025,TXN690050893635,UPI/BigBasket,978.11,,108580.81,177627802588
03/02/2025,TXN547263407264,UPI/Jio Fiber,999.00,,107581.81,865479564474
03/02/2025,TXN585415167372,UPI/Unacademy,1999.00,,105582.81,431331994963
04/02/2025,TXN760547473714,UPI/Myntra,1151.59,,104431.22,807744379353
04/02/2025,TXN767546117203,UPI/PVR Cinemas,568.37,,103862.85,932465103293
04/02/2025,TXN995147507319,UPI/BookMyShow,400.85,,103462.00,907130298842
04/02/2025,TXN504654744851,UPI/HDFC Life Insurance,3500.00,,99962.00,833457054610
05/02/2025,TXN910543371349,UPI/Swiggy,369.19,,99592.81,461498235434
05/02/2025,TXN864145086515,UPI/Zomato,301.28,,99291.53,362349424850
05/02/2025,TXN654383426192,UPI/Dominos,223.06,,99068.47,555667865697
05/02/2025,TXN395371705302,UPI/HDFC Life Insurance,3500.00,,95568.47,102143963566
05/02/2025,TXN830601975099,Received from Vikram Nair,,591.72,96160.19,017346987482
06/02/2025,TXN317004149890,UPI/Blinkit,664.44,,95495.75,166906144827
06/02/2025,TXN626268865905,UPI/PVR Cinemas,645.26,,94850.49,741452194427
06/02/2025,TXN543023921485,UPI/P2P to Neha Gupta,726.13,,94124.36,677717231126
07/02/2025,TXN345954271458,UPI/Swiggy,494.26,,93630.10,780795209054
07/02/2025,TXN213909954399,UPI/Ola,187.40,,93442.70,246057022646
07/02/2025,TXN122046141345,Paid to Anjali Singh,140.47,,93302.23,756442443995
08/02/2025,TXN743242527492,UPI/Blinkit,756.44,,92545.79,107710035199
08/02/2025,TXN363375751128,UPI/Blinkit,748.28,,91797.51,841309033663
08/02/2025,TXN579133154566,UPI/Ola,203.81,,91593.70,298579928559
08/02/2025,TXN479563216568,UPI/Ola,216.71,,91376.99,939442805365
08/02/2025,TXN529435944509,UPI/Amazon,554.32,,90822.67,691108079204
08/02/2025,TXN620602321326,UPI/Nykaa,1020.38,,89802.29,391970176690
08/02/2025,TXN410721391267,UPI/BookMyShow,416.08,,89386.21,907545659713
09/02/2025,TXN038429177994,UPI/Swiggy,430.77,,88955.44,083871032049
09/02/2025,TXN522843271444,UPI/Uber,265.82,,88689.62,160774884263
09/02/2025,TXN736082437585,UPI/NHAI Fastag,255.46,,88434.16,228150101667
09/02/2025,TXN496971077711,UPI/Netflix,649.00,,87785.16,802884918527
10/02/2025,TXN760810285792,UPI/Zomato,252.44,,87532.72,709658410887
10/02/2025,TXN794907748823,UPI/BigBasket,1357.39,,86175.33,535742664711
10/02/2025,TXN061296545960,UPI/Ola,158.12,,86017.21,829794496263
10/02/2025,TXN643573026754,UPI/BESCOM Electricity,1368.05,,84649.16,859007028406
11/02/2025,TXN661955789284,UPI/Dominos,456.70,,84192.46,259906666539
11/02/2025,TXN540499562964,UPI/Rapido,90.79,,84101.67,933947813647
11/02/2025,TXN249946543463,UPI/NHAI Fastag,224.95,,83876.72,388856272494
11/02/2025,TXN002465230078,UPI/Amazon,752.99,,83123.73,398745758833
11/02/2025,TXN025891817593,UPI/Hotstar Premium,299.00,,82824.73,140178221086
12/02/2025,TXN677447865195,UPI/BESCOM Electricity,1413.29,,81411.44,717865658729
12/02/2025,TXN266442544751,UPI/BookMyShow,317.52,,81093.92,609892665978
13/02/2025,TXN252471193963,UPI/Swiggy,508.36,,80585.56,074801815053
13/02/2025,TXN894772231826,UPI/Zomato,151.61,,80433.95,908576310711
13/02/2025,TXN303622323593,UPI/Blinkit,388.02,,80045.93,950389276977
13/02/2025,TXN573481446956,UPI/Rapido,100.59,,79945.34,450741230541
14/02/2025,TXN137411884105,UPI/Swiggy,511.54,,79433.80,031194723570
14/02/2025,TXN971936214106,UPI/Zomato,472.56,,78961.24,067574169183
14/02/2025,TXN582224618592,UPI/Ola,83.98,,78877.26,834093173405
14/02/2025,TXN075601208429,UPI/Zerodha,5947.36,,72929.90,879259364457
14/02/2025,TXN259089085520,UPI/Zerodha,4011.85,,68918.05,390893650377
15/02/2025,TXN085511582949,UPI/Swiggy,241.51,,68676.54,159066086333
15/02/2025,TXN291669883718,UPI/Blinkit,976.07,,67700.47,362640526480
15/02/2025,TXN957739506690,UPI/Rapido,38.06,,67662.41,005940705710
15/02/2025,TXN595498113293,UPI/Nykaa,486.94,,67175.47,977448224182
15/02/2025,TXN748305378874,UPI/BESCOM Electricity,1635.10,,65540.37,287778050404
16/02/2025,TXN153516557624,UPI/Blinkit,782.81,,64757.56,405123202385
16/02/2025,TXN341493157932,UPI/Uber,97.01,,64660.55,044708776618
16/02/2025,TXN705646154104,UPI/Flipkart,1750.92,,62909.63,406358721993
17/02/2025,TXN334581284578,UPI/Swiggy,398.83,,62510.80,327871101964
17/02/2025,TXN306633996844,UPI/McDonald's,477.13,,62033.67,727160982882
17/02/2025,TXN927212635865,UPI/IRCTC,380.12,,61653.55,370494886735
17/02/2025,TXN848329642660,UPI/Unacademy,1999.00,,59654.55,502066508972
18/02/2025,TXN719498900853,UPI/Zomato,547.11,,59107.44,635749458608
18/02/2025,TXN500025375659,UPI/Rapido,33.57,,59073.87,075430693048
18/02/2025,TXN604203299961,UPI/Ajio,93.38,,58980.49,540856487373
19/02/2025,TXN099521160090,UPI/Dominos,653.13,,58327.36,625117263974
19/02/2025,TXN194820317522,UPI/Ola,239.62,,58087.74,478867238648
19/02/2025,TXN534320004434,UPI/Uber,164.63,,57923.11,771952766930
21/02/2025,TXN637584377653,UPI/Zomato,380.31,,57542.80,448684599317
21/02/2025,TXN638488941534,UPI/Zomato,358.64,,57184.16,006362180989
21/02/2025,TXN513932343877,UPI/McDonald's,237.20,,56946.96,889546566948
21/02/2025,TXN957715522147,Cashback Swiggy,,679.68,57626.64,674043816437
22/02/2025,TXN593756473794,UPI/BigBasket,1389.60,,56237.04,965103064321
22/02/2025,TXN310790258618,UPI/Apollo Pharmacy,10.00,,56227.04,607863782277
22/02/2025,TXN662910333710,UPI/PVR Cinemas,828.19,,55398.85,915318062854
22/02/2025,TXN690356858759,UPI/Zerodha,3964.93,,51433.92,989549705671
23/02/2025,TXN119229767365,UPI/Dominos,343.80,,51090.12,400549301910
23/02/2025,TXN685967186139,UPI/Myntra,1439.64,,49650.48,358582998291
24/02/2025,TXN547820290144,UPI/Ola,79.01,,49571.47,462677375952
24/02/2025,TXN915829896285,UPI/Ola,163.34,,49408.13,117275835492
24/02/2025,TXN381625818641,UPI/Uber,302.55,,49105.58,827446181912
24/02/2025,TXN885957476376,UPI/Rapido,124.35,,48981.23,239002064432
24/02/2025,TXN715193658867,UPI/Zerodha,5279.32,,43701.91,851462728534
25/02/2025,TXN530298443479,UPI/Rapido,45.16,,43656.75,309409228058
25/02/2025,TXN400747390602,UPI/IRCTC,762.01,,42894.74,067535018753
25/02/2025,TXN451907072736,UPI/Amazon,2178.47,,40716.27,212838509922
25/02/2025,TXN126048621694,UPI/Amazon,1439.80,,39276.47,506488122543
25/02/2025,TXN873580854110,UPI/Flipkart,1593.44,,37683.03,012582328348
25/02/2025,TXN832384930896,UPI/HDFC Life Insurance,3500.00,,34183.03,591538704984
25/02/2025,TXN463384964598,Sent to Priya Verma,10.00,,34173.03,805967382074
26/02/2025,TXN153443843698,UPI/Uber,147.76,,34025.27,395208045283
26/02/2025,TXN839266345213,UPI/NHAI Fastag,261.51,,33763.76,505031311606
26/02/2025,TXN679302191664,UPI/Netflix,649.00,,33114.76,416673891260
26/02/2025,TXN537559706986,Transfer to Amit Kumar,390.23,,32724.53,993071576805
27/02/2025,TXN735865706344,UPI/BigBasket,923.15,,31801.38,142639798677
27/02/2025,TXN358743071676,UPI/Ola,231.10,,31570.28,288917371978
27/02/2025,TXN949884118185,UPI/Uber,117.64,,31452.64,231097308851
27/02/2025,TXN627615567466,UPI/Myntra,1277.50,,30175.14,062633045267
28/02/2025,TXN440174027304,UPI/Blinkit,294.28,,29880.86,421909042146
28/02/2025,TXN353667514927,UPI/Uber,324.95,,29555.91,744641664253
28/02/2025,TXN845574976505,UPI/BESCOM Electricity,1310.67,,28245.24,464696119696
28/02/2025,TXN578364692342,Split - Rohit Mehta,752.58,,27492.66,385057416549
