Date,Transaction ID,Description,Debit,Credit,Balance,UPI Ref
01/01/2025,TXN295598367625,Salary Credit NEFT,,85000.00,100572.29,253201238661
01/01/2025,TXN036793042993,UPI/Swiggy,325.52,,100246.77,793857223384
01/01/2025,TXN040656225680,Paid to Anjali Singh,177.92,,100068.85,134620550236
02/01/2025,TXN597518633481,UPI/Swiggy,184.57,,99884.28,066205275764
02/01/2025,TXN189445791936,UPI/Dominos,545.88,,99338.40,874153338052
02/01/2025,TXN989713473551,UPI/Uber,235.80,,99102.60,509891184168
02/01/2025,TXN546118390375,UPI/Nykaa,666.34,,98436.26,649375184981
02/01/2025,TXN316479978977,UPI/CureFit,2500.00,,95936.26,365460135727
03/01/2025,TXN604898928230,UPI/Swiggy,313.90,,95622.36,276578874234
03/01/2025,TXN321495518927,UPI/Ola,258.34,,95364.02,529461123504
03/01/2025,TXN236430734817,UPI/Rapido,98.01,,95266.01,006994161748
04/01/2025,TXN772429272112,UPI/Ola,203.93,,95062.08,152896501393
04/01/2025,TXN312321217264,UPI/Uber,248.44,,94813.64,329092155987
04/01/2025,TXN733646747102,UPI/BESCOM Electricity,1685.38,,93128.26,418866558717
05/01/2025,TXN434590494931,UPI/Uber,249.74,,92878.52,378905316566
05/01/2025,TXN471201469779,UPI/Rapido,88.30,,92790.22,804155552278
05/01/2025,TXN114414988284,UPI/Rapido,131.42,,92658.80,617263135931
05/01/2025,TXN830391306956,UPI/Rapido,98.01,,92560.79,440582821123
05/01/2025,TXN213197872318,UPI/Ajio,1348.39,,91212.40,517344571671
05/01/2025,TXN238132142898,UPI/1mg,479.20,,90733.20,509044068143
05/01/2025,TXN723401363805,Paid to Anjali Singh,1624.41,,89108.79,057615590024
05/01/2025,TXN353400892507,Paid to Anjali Singh,1483.29,,87625.50,717102677845
05/01/2025,TXN544270292175,Split - Rohit Mehta,622.19,,87003.31,768504826723
05/01/2025,TXN220019432303,Cashback Swiggy,,1165.62,88168.93,098029086896
06/01/2025,TXN556255180122,UPI/Swiggy,510.65,,87658.28,608828971349
06/01/2025,TXN914223417084,UPI/Ola,114.94,,87543.34,387753245324
06/01/2025,TXN837599807098,UPI/NHAI Fastag,104.36,,87438.98,964471311916
07/01/2025,TXN091870652929,UPI/Ola,137.08,,87301.90,504897103470
07/01/2025,TXN332225754363,UPI/Rapido,145.20,,87156.70,571613976533
07/01/2025,TXN921305957785,UPI/Flipkart,1191.64,,85965.06,709113679117
07/01/2025,TXN928272759473,UPI/Nykaa,712.75,,85252.31,302703299783
07/01/2025,TXN751835180015,UPI/Indane Gas,950.00,,84302.31,703262331245
07/01/2025,TXN620456443791,UPI/P2P to Neha Gupta,1261.88,,83040.43,910050466351
08/01/2025,TXN247261401256,UPI/Swiggy,641.30,,82399.13,900011855743
08/01/2025,TXN421850275969,UPI/Ola,180.21,,82218.92,338182194332
08/01/2025,TXN563416796560,UPI/Flipkart,596.12,,81622.80,213769112998
09/01/2025,TXN005832149563,UPI/Dominos,535.93,,81086.87,247270769514
09/01/2025,TXN289308810675,UPI/McDonald's,385.23,,80701.64,662522464521
10/01/2025,TXN415529197753,UPI/Ola,153.33,,80548.31,576155645836
11/01/2025,TXN978394125462,UPI/Zomato,178.73,,80369.58,833467105985
11/01/2025,TXN664867325162,UPI/Nykaa,852.14,,79517.44,631005865803
11/01/2025,TXN235380485270,UPI/Apollo Pharmacy,983.85,,78533.59,078783622147
11/01/2025,TXN510554512453,UPI/HDFC Life Insurance,3500.00,,75033.59,113600522840
12/01/2025,TXN924779676136,UPI/Dominos,431.58,,74602.01,879477178210
12/01/2025,TXN791450351668,UPI/Blinkit,849.88,,73752.13,937861965493
12/01/2025,TXN888047721998,UPI/Rapido,50.82,,73701.31,197746319257
12/01/2025,TXN217041815395,UPI/Apollo Pharmacy,387.25,,73314.06,461927229992
12/01/2025,TXN563211262568,UPI/BookMyShow,372.72,,72941.34,059626080225
13/01/2025,TXN934101391466,UPI/Swiggy,515.55,,72425.79,181373596554
13/01/2025,TXN603284939973,UPI/Blinkit,799.85,,71625.94,849661296091
13/01/2025,TXN901148642222,UPI/Ola,111.53,,71514.41,782827597681
13/01/2025,TXN244718442395,UPI/Uber,207.74,,71306.67,524159500815
13/01/2025,TXN427266059634,UPI/Rapido,86.34,,71220.33,872976265200
13/01/2025,TXN248479559701,Sent to Priya Verma,2076.78,,69143.55,496897011102
13/01/2025,TXN416027849568,Cashback Swiggy,,711.62,69855.17,804777090451
14/01/2025,TXN666231823975,UPI/Swiggy,380.60,,69474.57,654687708668
14/01/2025,TXN555531038468,UPI/Swiggy,45.92,,69428.65,773037217115
14/01/2025,TXN693221107081,UPI/Zomato,202.22,,69226.43,522759805598
14/01/2025,TXN049037522009,UPI/Ola,203.52,,69022.91,472952199990
14/01/2025,TXN509618921361,UPI/Ola,217.92,,68804.99,424671575680
14/01/2025,TXN002657061964,UPI/Uber,111.04,,68693.95,538624214673
15/01/2025,TXN583380119831,UPI/BigBasket,1244.99,,67448.96,090933394293
15/01/2025,TXN900368971616,UPI/IRCTC,843.35,,66605.61,015803591534
15/01/2025,TXN830584416053,UPI/Myntra,762.81,,65842.80,166559340086
15/01/2025,TXN224844377730,UPI/Nykaa,447.85,,65394.95,670428910702
15/01/2025,TXN397600517604,UPI/BESCOM Electricity,1899.32,,63495.63,191037889316
16/01/2025,TXN266010377630,UPI/Zomato,480.66,,63014.97,787864731954
16/01/2025,TXN380372231085,UPI/Zerodha,7301.83,,55713.14,886366736808
16/01/2025,TXN003772413700,Rent payment - Landlord,996.86,,54716.28,038410295835
17/01/2025,TXN122844672277,UPI/PVR Cinemas,599.49,,54116.79,547125068427
17/01/2025,TXN806418848783,UPI/Zerodha,1521.48,,52595.31,399166421844
18/01/2025,TXN107290701541,UPI/McDonald's,464.33,,52130.98,493128308100
18/01/2025,TXN897305247313,UPI/Ola,224.46,,51906.52,401289905139
18/01/2025,TXN208313179426,UPI/Rapido,106.74,,51799.78,912132886152
18/01/2025,TXN222991884158,UPI/Rapido,100.05,,51699.73,403560021794
18/01/2025,TXN768766420130,UPI/NHAI Fastag,229.56,,51470.17,925377386675
18/01/2025,TXN734327676180,UPI/BookMyShow,475.31,,50994.86,448133502227
18/01/2025,TXN560895336985,Transfer to Amit Kumar,10.00,,50984.86,038846071348
